"table_name","column_name","kind","type","clustering_order"
application_logging,event_datetime,clustering,timestamp,asc
application_logging,event_ts_mask,partition_key,text,none
application_logging,payload,regular,text,none
application_logging,severity,regular,text,none
application_logging,source_module,partition_key,text,none
cmdb_staging,application_name,clustering,text,asc
cmdb_staging,business_criticality_rating,regular,float,none
cmdb_staging,business_interruption_threshold,regular,int,none
cmdb_staging,configuration_items,regular,text,none
cmdb_staging,data_classification,regular,text,none
cmdb_staging,import_date,regular,date,none
cmdb_staging,line_of_business,regular,text,none
cmdb_staging,org_id,partition_key,uuid,none
cmdb_staging,risk_factor,regular,int,none
hardware,audit_insert,regular,frozen<audit_insert>,none
hardware,audit_update,regular,frozen<audit_update>,none
hardware,cpe_id,regular,text,none
hardware,crown_jewel,regular,boolean,none
hardware,cve_id,regular,text,none
hardware,cvss_base_score,regular,double,none
hardware,cvss_temporal_score,regular,double,none
hardware,cyvar,regular,float,none
hardware,end_of_life_date,regular,date,none
hardware,end_of_sale,regular,date,none
hardware,end_of_support_date,regular,date,none
hardware,import_date,regular,date,none
hardware,internal_system_id,clustering,uuid,asc
hardware,ip_address,regular,text,none
hardware,ip_gateway,regular,text,none
hardware,ip_netmask,regular,text,none
hardware,ip_subnet_or_building,clustering,text,asc
hardware,mac_address,regular,text,none
hardware,neighbor_coefficient_value,regular,float,none
hardware,node_impact_value,regular,float,none
hardware,org_id,partition_key,uuid,none
hardware,part,regular,text,none
hardware,patch_availability,regular,text,none
hardware,product,regular,text,none
hardware,reportable_flag,regular,boolean,none
hardware,risk_likelihood,regular,float,none
hardware,run_date,regular,date,none
hardware,site_or_ou_name,partition_key,text,none
hardware,system_type,regular,text,none
hardware,traceroute,regular,text,none
hardware,vendor,regular,text,none
hardware,vendor_stencil_icon,regular,text,none
hardware,version,regular,text,none
hardware,version_update,regular,text,none
hardware,vulnerability_count,regular,int,none
hardware_by_internal_system_id,internal_system_id,partition_key,uuid,none
hardware_by_internal_system_id,ip_address,regular,text,none
hardware_by_internal_system_id,ip_subnet_or_building,clustering,text,asc
hardware_by_internal_system_id,org_id,partition_key,uuid,none
hardware_by_internal_system_id,site_or_ou_name,clustering,text,asc
hardware_by_ip_address,internal_system_id,clustering,uuid,asc
